Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (kW/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,7.6,1.2,0.2,0,7.6,0,0
1,1,1,0,0,7.5,1.2,0.2,0,7.5,0,0
1,1,2,0,0,7.6,1.2,0.2,0,7.6,0,0
1,1,3,0,0,7.7,1.2,0.2,0,7.7,0,0
1,1,4,0,0,7.8,1.2,0.2,0,7.8,0,0
1,1,5,0,0,11.8,1.3,0.2,0,11.8,0,0
1,1,6,0,0,12.5,1.2,0.2,0,0,0,0
1,1,7,126,53,15.3,1.2,0.2,103.604,18.262,571.81,523.804
1,1,8,340,129,18.9,1.9,0.2,319.89,26.892,1916.541,1820.885
1,1,9,477,175,21.3,2.7,0.2,524.949,32.54,3089.26,2952.051
1,1,10,612,179,22.8,3.1,0.2,690.262,36.582,3984.714,3815.775
1,1,11,751,144,23.7,3.2,0.2,806.923,39.544,4595.828,4405.235
1,1,12,725,151,23.9,3,0.2,786.612,39.865,4475.683,4289.346
1,1,13,660,153,23.7,2.8,0.2,686.981,38.143,3951.085,3783.337
1,1,14,539,143,22.9,2.3,0.2,510.603,34.679,2990.141,2856.444
1,1,15,274,107,20.7,1.5,0.2,248.446,27.448,1460.325,1380.835
1,1,16,10,28,18.2,1,0.2,31.104,19.116,151.811,118.687
1,1,17,0,0,17.2,1,0.2,0,17.2,0,0
1,1,18,0,0,17,0.8,0.2,0,17,0,0
1,1,19,0,0,16.8,0.5,0.2,0,16.8,0,0
1,1,20,0,0,16.3,0.5,0.2,0,16.3,0,0
1,1,21,0,0,15.4,0.8,0.2,0,15.4,0,0
1,1,22,0,0,14.3,1,0.2,0,14.3,0,0
1,1,23,0,0,13.4,1.1,0.2,0,13.4,0,0
1,2,0,0,0,12.8,1.1,0.2,0,12.8,0,0
1,2,1,0,0,12.6,1.1,0.2,0,12.6,0,0
1,2,2,0,0,12.4,1.1,0.2,0,12.4,0,0
1,2,3,0,0,12.3,1.2,0.2,0,12.3,0,0
1,2,4,0,0,12.1,1.2,0.2,0,12.1,0,0
1,2,5,0,0,12,1.2,0.2,0,12,0,0
1,2,6,0,0,12.7,1.1,0.2,0,0,0,0
1,2,7,85,48,15,1.3,0.2,80.054,17.237,440.712,397.351
1,2,8,265,147,18.1,1.5,0.2,302.089,26.321,1806.651,1714.889
1,2,9,394,201,20.7,1.2,0.2,489.524,34.971,2845.181,2716.62
1,2,10,531,210,22.3,1,0.2,660.498,42.505,3716.306,3556.877
1,2,11,673,176,23.2,0.8,0.2,776.321,48.211,4262.625,4083.838
1,2,12,680,171,23.5,0.5,0.2,771.367,50.523,4197.328,4020.855
1,2,13,659,155,23.5,0.7,0.2,689.313,46.349,3833.618,3670.032
1,2,14,609,125,22.9,1.1,0.2,539.535,39.047,3110.316,2972.36
1,2,15,459,93,20.7,1.1,0.2,325.213,30.413,1907.096,1811.775
1,2,16,163,35,17.7,1,0.2,91.468,20.34,437.42,394.175
1,2,17,0,0,16.1,1.1,0.2,0,0,0,0
1,2,18,0,0,15.4,1.1,0.2,0,15.4,0,0
1,2,19,0,0,14.7,1,0.2,0,14.7,0,0
1,2,20,0,0,14.1,1.1,0.2,0,14.1,0,0
1,2,21,0,0,13.5,1.2,0.2,0,13.5,0,0
1,2,22,0,0,13.1,1.2,0.2,0,13.1,0,0
1,2,23,0,0,12.9,1.2,0.2,0,12.9,0,0
1,3,0,0,0,12.7,1.1,0.2,0,12.7,0,0
1,3,1,0,0,12.5,1.1,0.2,0,12.5,0,0
1,3,2,0,0,12.2,1.1,0.2,0,12.2,0,0
1,3,3,0,0,11.9,1.1,0.2,0,11.9,0,0
1,3,4,0,0,11.7,1.1,0.2,0,11.7,0,0
1,3,5,0,0,11.3,1.2,0.2,0,11.3,0,0
1,3,6,0,0,12.1,1.1,0.2,0,0,0,0
1,3,7,280,52,14.9,1.4,0.2,154.279,19.085,845.827,788.111
1,3,8,552,96,18.4,1.5,0.2,399.447,29.289,2391.625,2279.135
1,3,9,688,119,21.4,1.2,0.2,609.266,39.188,3510.196,3358.071
1,3,10,753,132,23.6,1.8,0.2,754.13,42.797,4255.236,4076.711
1,3,11,781,137,24.6,2.4,0.2,825.184,43.23,4630.848,4439.014
1,3,12,781,135,25,2.7,0.2,817.101,42.469,4602.224,4411.404
1,3,13,515,178,24.8,2.9,0.2,601.768,37.227,3463.685,3313.208
1,3,14,277,170,24,2.9,0.2,366.714,31.58,2149.756,2045.836
1,3,15,155,107,21.3,2,0.2,187.929,25.887,1101.139,1034.377
1,3,16,12,33,17.9,1.2,0.2,38.023,18.968,188.957,154.517
1,3,17,0,0,16.5,1.1,0.2,0,0,0,0
1,3,18,0,0,16.3,1,0.2,0,16.3,0,0
1,3,19,0,0,16,0.8,0.2,0,16,0,0
1,3,20,0,0,15.5,0.8,0.2,0,15.5,0,0
1,3,21,0,0,15,0.9,0.2,0,15,0,0
1,3,22,0,0,14.5,0.9,0.2,0,14.5,0,0
1,3,23,0,0,14,0.9,0.2,0,14,0,0
1,4,0,0,0,13.6,0.9,0.2,0,13.6,0,0
1,4,1,0,0,13.3,1,0.2,0,13.3,0,0
1,4,2,0,0,13.2,0.9,0.2,0,13.2,0,0
1,4,3,0,0,13.1,0.9,0.2,0,13.1,0,0
1,4,4,0,0,12.9,0.8,0.2,0,12.9,0,0
1,4,5,0,0,13,0.8,0.2,0,13,0,0
1,4,6,0,0,13.4,0.8,0.2,0,0,0,0
1,4,7,217,54,15.5,0.7,0.2,136.776,19.931,748.317,694.056
1,4,8,470,110,18.6,0.8,0.2,370.538,30.585,2200.178,2094.472
1,4,9,604,143,21.4,1.5,0.2,574.739,37.041,3333.689,3187.819
1,4,10,661,165,23.4,2.2,0.2,717.316,40.232,4083.408,3910.972
1,4,11,665,184,24.3,2.4,0.2,778.781,41.872,4386.956,4203.763
1,4,12,654,186,24.7,2.6,0.2,766.825,41.379,4329.606,4148.446
1,4,13,612,176,24.5,2.5,0.2,674.475,39.456,3853.373,3689.087
1,4,14,528,151,23.7,2.2,0.2,515.245,35.815,3001.612,2867.508
1,4,15,364,109,21.1,1.5,0.2,300.062,29.255,1764.36,1674.096
1,4,16,105,35,18.1,1.1,0.2,72.083,20.154,354.557,314.248
1,4,17,0,0,17,1.2,0.2,0,0,0,0
1,4,18,0,0,16.7,1,0.2,0,16.7,0,0
1,4,19,0,0,16.3,1,0.2,0,16.3,0,0
1,4,20,0,0,15.6,1,0.2,0,15.6,0,0
1,4,21,0,0,14.8,1.1,0.2,0,14.8,0,0
1,4,22,0,0,14.2,1.2,0.2,0,14.2,0,0
1,4,23,0,0,13.7,1.2,0.2,0,13.7,0,0
1,5,0,0,0,13.4,1.3,0.2,0,13.4,0,0
1,5,1,0,0,13,1.3,0.2,0,13,0,0
1,5,2,0,0,12.7,1.3,0.2,0,12.7,0,0
1,5,3,0,0,12.3,1.3,0.2,0,12.3,0,0
1,5,4,0,0,12.1,1.3,0.2,0,12.1,0,0
1,5,5,0,0,11.8,1.2,0.2,0,11.8,0,0
1,5,6,0,0,12.4,1.1,0.2,0,0,0,0
1,5,7,150,54,15,1.1,0.2,111.626,18.264,614.048,564.545
1,5,8,367,129,18.5,1.2,0.2,332.335,28.206,1982.605,1884.609
1,5,9,502,171,21.4,1.9,0.2,536.562,34.788,3131.617,2992.907
1,5,10,551,204,23.3,2.8,0.2,669.889,37.368,3849.036,3684.905
1,5,11,536,233,24.3,3.3,0.2,720.526,38.204,4109.579,3936.215
1,5,12,562,221,24.9,3.7,0.2,725.678,38.063,4145.167,3970.543
1,5,13,551,196,24.9,3.8,0.2,650.529,36.539,3754.698,3593.909
1,5,14,504,160,24.3,3.4,0.2,510.568,34.031,2992.983,2859.185
1,5,15,373,111,21.5,2.2,0.2,307.169,28.712,1812.229,1720.27
1,5,16,121,37,17.9,1.4,0.2,78.883,19.997,392.484,350.832
1,5,17,0,0,16,1.3,0.2,0,0,0,0
